Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
04-Jun-21,534.8,535.75,531.25,532.7,533.2293058,661985,12196,352989802,398176,60.15,4.5,-2.1
03-Jun-21,531.85,533.35,528.7,532.1,531.0130922,735782,15452,390709875,479872,65.22,4.65,0.25
02-Jun-21,530.1,534.5,528,529.6,530.5443243,494007,11723,262092610,273203,55.3,6.5,-0.5
01-Jun-21,538,538,530.15,532.9,533.4468828,501024,12404,267269691,232077,46.32,7.85,-5.1
31-May-21,525.8,535.8,525.4,534.95,532.4793799,927325,19141,493781441,549560,59.26,10.4,9.15
28-May-21,520,528.5,520,523.65,524.334381,567586,13541,297604854,224678,39.58,8.5,3.65
27-May-21,526,527,518.7,519.95,522.6201774,489855,17858,256008107,258985,52.87,8.3,-6.05
26-May-21,530,530.8,524.85,525.8,527.2361256,173882,3789,91676872,51653,29.71,5.95,-4.2
25-May-21,530,530.7,524.6,526.1,527.5354897,224727,4009,118551468,65706,29.24,6.1,-3.9
24-May-21,532.5,533.2,526.05,526.75,528.3897039,192033,4158,101468260,55979,29.15,7.15,-5.75
21-May-21,522,533.05,522,530.9,528.9636395,737173,14242,389937713,334441,45.37,11.05,8.9
20-May-21,528.35,530.75,520.1,520.7,523.9548156,710135,22216,372078653,297679,41.92,10.65,-7.65
19-May-21,539.9,540.85,526.5,528.3,531.6216182,524761,8901,278974292,183580,34.98,14.35,-11.6
18-May-21,547.5,552.85,534.65,536.3,541.1314199,1194210,19461,646224553,306389,25.66,18.2,-11.2
17-May-21,567.9,567.9,546,549.55,551.9582985,613503,12404,338628072,147707,24.08,21.9,-18.35
14-May-21,564,569.2,556.2,560.55,562.6793109,347589,8115,195581139,108889,31.33,13,-3.45
12-May-21,568,569.2,558.4,561.8,564.200047,136138,2483,76809066,25915,19.04,10.8,-6.2
11-May-21,566.8,574.25,564,568.2,569.3685804,355027,7019,202141219,135413,38.14,10.25,1.4
10-May-21,572.9,576.8,569,572.7,573.5869695,555068,10994,318379772,273235,49.23,7.8,-0.2
07-May-21,558.7,572.7,557,568.5,567.9586681,284236,5130,161434300,84045,29.57,15.7,9.8
06-May-21,561.9,564.25,552.6,558.35,558.2739809,239743,4237,133842279,37857,15.79,11.65,-3.55
05-May-21,559,565,553.6,559.9,562.7676991,795012,5464,447407074,549648,69.14,11.4,0.9
04-May-21,565,567.8,546.75,552.1,556.5727148,416848,6065,232006223,149989,35.98,21.05,-12.9
03-May-21,532,562,529.05,558.7,548.1294316,1010101,23084,553666087,522309,51.71,32.95,26.7
30-Apr-21,535.5,546.9,533.35,537.3,541.7551028,437898,8449,237233476,140240,32.03,13.55,1.8
29-Apr-21,547.2,549.95,539.15,541.4,543.1288086,237453,3279,128967565,74341,31.31,10.8,-5.8
28-Apr-21,536,547.95,536,544.3,543.0303699,634840,12562,344737400,331113,52.16,11.95,8.3
27-Apr-21,528,538.4,526.95,534.45,533.973582,211144,3436,112745318,26969,12.77,11.45,6.45
26-Apr-21,527.55,528.4,523.9,527.55,526.022366,129795,2121,68275073,31203,24.04,4.5,0
23-Apr-21,533.8,533.8,519.2,521.85,524.7284927,161399,2750,84690654,54533,33.79,14.6,-11.95
22-Apr-21,530,533,525.4,530.85,530.0570678,352160,1834,186664897,256992,72.98,7.6,0.85
20-Apr-21,527.35,537.1,525.9,530.15,532.4641187,161407,2450,85943436,26759,16.58,11.2,2.8
19-Apr-21,536,536,523.35,526.45,527.4250184,153351,2839,80881154,30532,19.91,12.65,-9.55
16-Apr-21,540,544.3,538.3,540.55,542.4535174,911363,2796,494372065,772887,84.81,6,0.55
15-Apr-21,539.5,546.15,530.5,539.2,537.8003868,249748,3704,134314571,33783,13.53,15.65,-0.3
13-Apr-21,523.5,538.4,523.3,536,530.3150772,160932,2703,85344666,37051,23.02,15.1,12.5
12-Apr-21,535,539.15,518.7,522.35,527.7109983,784864,20738,414181365,355164,45.25,20.45,-12.65
09-Apr-21,536.5,549.35,536.5,545.35,543.4595792,329756,4925,179209057,59999,18.19,12.85,8.85
08-Apr-21,548.8,548.8,540.55,542.95,542.2091819,1436807,4878,779049948,1176962,81.92,8.25,-5.85
07-Apr-21,538.95,546.9,535.15,541.5,542.0730814,524169,7863,284137905,82812,15.8,11.75,2.55
06-Apr-21,528.2,537.55,524.75,532.1,532.7937201,308285,4567,164252312,82362,26.72,12.8,3.9
05-Apr-21,520,529.1,514.55,528.2,521.8117522,639200,12203,333542072,256310,40.1,14.55,8.2
01-Apr-21,519.75,523.9,514.25,520.9,518.7794033,450120,2675,233512985,302621,67.23,9.65,1.15
31-Mar-21,521.4,525.8,516.05,517.3,521.947085,300104,2830,156638408,113015,37.66,9.75,-4.1
30-Mar-21,527,527.9,516.4,521.4,521.7031844,233202,3455,121662226,44715,19.17,11.5,-5.6
26-Mar-21,512.9,524.4,510.65,522.3,518.7281481,555512,10669,288159711,189304,34.08,13.75,9.4
25-Mar-21,525,525,499.35,508,510.8420501,451985,7316,230892944,112639,24.92,25.65,-17
24-Mar-21,527.4,533.5,521.5,523.6,527.8236648,225871,3366,119220059,39788,17.62,12,-3.8
23-Mar-21,530.8,532.4,522.25,529.2,527.4997838,337678,4026,178125072,54917,16.26,10.15,-1.6
22-Mar-21,533.35,533.35,523,527.9,527.9488665,517801,11368,273372451,132080,25.51,10.35,-5.45
19-Mar-21,527.7,534.5,525.9,530.25,530.6345324,510442,7037,270858152,91400,17.91,8.6,2.55
18-Mar-21,528.4,532,515.1,526,523.6379388,303979,4378,159174937,63184,20.79,16.9,-2.4
17-Mar-21,530,531.05,519,522.85,523.1928733,389997,10968,204043651,142525,36.55,12.05,-7.15
16-Mar-21,524.05,533.65,524.05,529.3,529.924983,401389,4793,212706059,108590,27.05,9.6,5.25
15-Mar-21,526.2,527.75,516.7,522.75,521.7679132,288237,3866,150392818,67710,23.49,11.05,-3.45
12-Mar-21,528.55,532.5,521.55,524.05,527.9770074,653429,14662,344995488,249441,38.17,10.95,-4.5
10-Mar-21,523.4,530.25,516.2,525.9,523.5114014,449420,5766,235276494,54651,12.16,14.05,2.5
09-Mar-21,532,532,514.4,521.65,522.1072081,851829,23344,444746061,245436,28.81,17.6,-10.35
08-Mar-21,536.85,536.85,524.8,525.7,529.4208402,429795,12095,227542430,167293,38.92,12.05,-11.15
05-Mar-21,535,538.5,524.8,532.4,532.3053353,503928,7023,268243563,99724,19.79,13.7,-2.6
04-Mar-21,540.9,545.95,537.9,539.45,541.9714746,982844,6072,532673412,679249,69.11,8.05,-1.45
03-Mar-21,548.25,550.5,540.25,546.25,544.5485613,2007801,24247,1093345146,1252254,62.37,10.25,-2
02-Mar-21,542.95,543.95,529.05,541.25,536.5449134,1775295,33489,952525502,428406,24.13,14.9,-1.7
01-Mar-21,556.55,559.55,521.1,532.3,533.6709474,2474352,69436,1320489776,799350,32.31,38.45,-24.25
26-Feb-21,574.85,585.8,551.8,557.1,566.7159149,1386352,23640,785667742,264054,19.05,34,-17.75
25-Feb-21,581,584.45,577,579.15,577.1101726,1218261,11316,703070816,797742,65.48,7.45,-1.85
24-Feb-21,569.8,581.4,563,573.05,570.0563771,1596660,29769,910186215,809458,50.7,18.4,3.25
23-Feb-21,574.1,577,564.25,565.5,570.9946622,586763,14296,335038541,157180,26.79,12.75,-8.6
22-Feb-21,581,584.9,568.2,570.7,578.1995688,333028,5878,192556646,78675,23.62,16.7,-10.3
19-Feb-21,591.4,595.95,575.55,580.95,586.7713017,365359,14721,214382176,99302,27.18,20.4,-10.45
18-Feb-21,596,598,585.1,589,591.4170496,793920,15143,469537824,338929,42.69,12.9,-7
17-Feb-21,593,598.8,590.2,594.05,594.2724754,1008458,11856,599298832,642325,63.69,8.6,1.05
16-Feb-21,595.9,601.5,593,594,597.5958804,892706,18677,533477428,309100,34.62,8.5,-1.9
15-Feb-21,594,603,590,593.8,597.7962551,1064606,15283,636417480,456391,42.87,13,-0.2
12-Feb-21,598,598,584.7,586.55,591.7924727,1164531,17208,689160680,606529,52.08,13.3,-11.45
11-Feb-21,593.1,603.7,588.6,598.4,598.9181319,616174,8749,369037781,181056,29.38,15.1,5.3
